;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Simulation results - disaggregated. Individual dwelling simulations are listed below in sequential order (dwelling 1 first, then dwelling 2 etc.) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dwelling index;Date;Time;Occupancy;Activity;Lighting demand;Appliance demand;Casual thermal gains from occupants, lighting and appliances;Outdoor temperature;Outdoor global radiation (horizontal);Passive solar gains;Primary heating system thermal output;External building node temperature;Internal building node temperature;Hot water demand (litres);Hot water temperature in hot water tank;Space heating timer settings;Hot water heating timer settings;Heating system switched on;Hot water heating required;Emitter temperature;Radiation incident on PV array;PV output;Net dwelling electricity demand;Heat output from primary heating system to space;Heat output from primary heating system to hot water;Fuel flow rate (gas);Solar power incident on collector;Solar thermal collector control state;Solar thermal collector temperature;Heat gains to cylinder from solar thermal collector;Dwelling self-consumption;Space cooling timer settings;Cooling system switched on;Cooling output from cooling system to space;Cooler Emitter temperature;Heating Thermostat Set Point;Cooling Thermostat Set Point;Electricity used by cooling system;Electricity used by heating system
;;;;;Plight;Pa;θc;θo;Go;φs;φh;θb;θi;;θcyl;;;;;θem;Gi;Ppv;Pnet;φh, space;φh, water;mfuel;;;θcollector;φcollector;Pself;;;φh, space;θem;θem;θem;;
;;;;;W;W;W;°C;Wm-2;W;W;°C;°C;ltr.min-1;°C;;;;;°C;Wm-2;W;W;W;W;m3/h;W;;°C;W;kWh;;;W;°C;°C;°C;W;W
1;02/08/2015;12.47.00 AM;1;0;0;273;341,9;11,45471145;0;0;0;16,66114694;18,06126098;0;61,50373041;0;1;0;0;18,57837181;0;0;273;0;0;0;0;0;11,95230213;0;0;0;0;0;18,05466494;19;24;0;0
1;02/08/2015;12.48.00 AM;1;0;0;273;341,9;11,43747831;0;0;0;16,65763389;18,06724124;0;61,49628313;0;1;0;0;18,560783;0;0;273;0;0;0;0;0;11,94683148;0;0;0;0;0;18,06126098;19;24;0;0
1;02/08/2015;12.49.00 AM;1;0;0;273;341,9;11,42024517;0;0;0;16,65411868;18,07264146;0;61,48883816;0;1;0;0;18,54399587;0;0;273;0;0;0;0;0;11,94123099;0;0;0;0;0;18,06724124;19;24;0;0
1;02/08/2015;12.50.00 AM;1;0;0;273;341,9;11,40301203;0;0;0;16,6506006;18,07749523;0;61,48139538;0;1;0;0;18,52796341;0;0;273;0;0;0;0;0;11,93550206;0;0;0;0;0;18,07264146;19;24;0;0
1;02/08/2015;12.51.00 AM;1;0;0;273;341,9;11,38602888;0;0;0;16,64707923;18,0818345;0;61,47395471;0;1;0;0;18,51264136;0;0;273;0;0;0;0;0;11,92964608;0;0;0;0;0;18,07749523;19;24;0;0
1;02/08/2015;12.52.00 AM;1;0;0;273;341,9;11,36904574;0;0;0;16,64355398;18,085689;0;61,46651606;0;1;0;0;18,49798806;0;0;273;0;0;0;0;0;11,9236672;0;0;0;0;0;18,0818345;19;24;0;0
1;02/08/2015;12.53.00 AM;1;0;0;273;341,9;11,3478126;0;0;0;16,64002001;18,08908105;0;61,45907935;0;1;0;0;18,48396429;0;0;273;0;0;0;0;0;11,91756676;0;0;0;0;0;18,085689;19;24;0;0
1;02/08/2015;12.54.00 AM;1;0;0;273;341,9;11,32657946;0;0;0;16,63647678;18,09203719;0;61,45164449;0;1;0;0;18,47053288;0;0;273;0;0;0;0;0;11,9112991;0;0;0;0;0;18,08908105;19;24;0;0
1;02/08/2015;12.55.00 AM;1;0;0;273;341,9;11,30559632;0;0;0;16,63292404;18,09458267;0;61,44421142;0;1;0;0;18,45765888;0;0;273;0;0;0;0;0;11,90486605;0;0;0;0;0;18,09203719;19;24;0;0
1;02/08/2015;12.56.00 AM;1;0;0;273;341,9;11,28511318;0;0;0;16,6293618;18,09674155;0;61,43678005;0;1;0;0;18,44530935;0;0;273;0;0;0;0;0;11,89827214;0;0;0;0;0;18,09458267;19;24;0;0
